id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,bathrooms,property_type,beds,host_listings_count,instant_bookable,first_review,accommodates,review_scores_rating
5743473,PORTO,Bonfim,41.14337,-8.60156,Entire home/apt,58,2,318,2020-10-14,4.57,2,180,1.0,Entire apartment,1.0,2.0,f,2015-06-01,3,97.0
5752278,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14717,-8.60381,Entire home/apt,34,2,102,2020-08-28,1.47,7,341,2.0,Entire apartment,1.0,3.0,t,2015-06-03,4,92.0
5756330,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14949,-8.61547,Entire home/apt,37,1,453,2020-09-02,6.45,6,288,1.0,Entire apartment,5.0,6.0,t,2015-05-10,6,93.0
5804599,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15553,-8.61782,Private room,17,1,142,2020-09-26,2.44,4,365,1.0,Private room in apartment,3.0,2.0,f,2016-05-03,4,96.0
5804995,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15645,-8.6188,Private room,17,1,91,2020-10-17,1.28,4,331,1.0,Private room in apartment,1.0,2.0,f,2015-04-16,1,92.0
5810983,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16418,-8.61735,Entire home/apt,45,2,98,2019-12-08,1.37,1,362,2.0,Entire apartment,8.0,2.0,f,2015-04-08,10,97.0
5819334,PORTO,Ramalde,41.1732,-8.6346,Private room,25,3,28,2020-08-02,0.41,2,0,1.5,Private room in apartment,1.0,2.0,f,2015-07-25,2,100.0
5821113,PÓVOA DE VARZIM,"Póvoa de Varzim, Beiriz e Argivai",41.3861,-8.75665,Entire home/apt,23,1,67,2021-01-23,0.97,1,169,2.0,Entire apartment,3.0,1.0,t,2015-06-23,6,90.0
5824521,PORTO,Bonfim,41.14895,-8.60177,Entire home/apt,299,2,175,2020-09-20,2.48,1,342,5.0,Entire house,11.0,1.0,t,2015-04-27,16,98.0
5836251,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15234,-8.60825,Entire home/apt,90,2,181,2020-03-07,2.66,8,150,1.0,Entire loft,3.0,7.0,t,2015-07-15,6,95.0
5843271,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14378,-8.60241,Entire home/apt,50,3,350,2020-09-20,4.94,1,278,1.0,Entire apartment,1.0,1.0,f,2015-04-22,2,97.0
5845099,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1429,-8.61649,Entire home/apt,126,1,96,2020-09-11,1.38,4,286,1.0,Entire apartment,4.0,4.0,t,2015-06-01,6,95.0
5849647,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14697,-8.6026,Entire home/apt,50,2,173,2019-11-03,2.42,19,342,1.0,Entire apartment,1.0,19.0,t,2015-04-06,3,94.0
5852359,MATOSINHOS,"Perafita, Lavra e Santa Cruz do Bispo",41.25513,-8.72098,Entire home/apt,85,5,2,2016-09-28,0.04,1,358,2.0,Entire apartment,2.0,0.0,f,2016-06-23,5,100.0
5856053,VILA NOVA DE GAIA,Canidelo,41.11172,-8.65825,Shared room,15,2,45,2019-08-28,0.64,4,365,2.0,Shared room in house,12.0,4.0,f,2015-05-09,12,86.0
5865029,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14705,-8.61106,Entire home/apt,40,3,111,2020-01-03,1.56,3,179,1.0,Entire apartment,2.0,4.0,f,2015-04-06,4,82.0
5867152,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15086,-8.61287,Private room,25,2,222,2020-01-01,3.14,1,364,2.0,Private room in house,1.0,1.0,f,2015-04-27,2,97.0
5872863,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14009,-8.6165,Entire home/apt,46,2,428,2021-01-03,6.07,4,355,1.0,Entire apartment,6.0,4.0,t,2015-05-04,6,95.0
5883347,PORTO,Lordelo do Ouro e Massarelos,41.15437,-8.64793,Private room,30,3,118,2020-11-30,1.66,8,350,1.0,Private room in apartment,1.0,13.0,t,2015-04-19,4,94.0
5901450,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15454,-8.60968,Entire home/apt,44,2,148,2020-01-02,2.16,1,2,1.0,Entire apartment,2.0,1.0,f,2015-07-06,3,92.0
5903752,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14193,-8.62002,Entire home/apt,60,2,9,2018-10-04,0.13,4,357,1.0,Entire apartment,3.0,4.0,t,2015-05-20,4,85.0
5904279,PORTO,Lordelo do Ouro e Massarelos,41.1469,-8.62957,Entire home/apt,49,3,25,2020-05-01,0.42,1,364,1.0,Entire apartment,2.0,1.0,f,2016-04-15,4,93.0
5908623,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14132,-8.61381,Entire home/apt,49,2,300,2020-09-27,4.23,42,347,1.0,Entire apartment,2.0,37.0,t,2015-04-18,4,95.0
5924073,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13601,-8.61159,Entire home/apt,46,2,243,2020-11-22,3.46,4,350,1.0,Entire apartment,3.0,4.0,t,2015-05-09,5,95.0
5926118,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14885,-8.6208,Private room,66,3,8,2020-08-24,0.12,3,350,1.5,Private room in house,1.0,1.0,t,2015-07-13,2,88.0
5927865,VILA DO CONDE,Mindelo,41.3065,-8.73612,Entire home/apt,50,5,23,2020-09-12,0.34,1,365,2.0,Entire apartment,4.0,1.0,f,2015-07-24,4,95.0
